State	Commodity	plantedAllPurposeAcres	harvestedAcres	cropYield	production	pricePerUnit	productionValueDollars
CALIFORNIA	TANGERINES	0	66000	339 BOXES / ACRE		35.49 $ / BOX, PHD EQUIV	795,034,000	
CALIFORNIA	TANGERINES, UTILIZED	0	0		896,000 TONS			
CALIFORNIA	TANGERINES, FRESH MARKET	0	0		696,000 TONS	(D) $ / BOX, PHD EQUIV	(D)	
CALIFORNIA	TANGERINES, PROCESSING	0	0		200,000 TONS	(D) $ / BOX, PHD EQUIV	(D)	
CALIFORNIA	BROCCOLI	90000	89500	160 CWT / ACRE	14,320,000 CWT	54.9 $ / CWT	782,122,000	
CALIFORNIA	BROCCOLI, UTILIZED	0	0		14,248,400 CWT			
CALIFORNIA	BROCCOLI, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	BROCCOLI, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	CARROTS	60400	60300	410 CWT / ACRE	24,723,000 CWT	27.7 $ / CWT	685,198,000	
CALIFORNIA	CARROTS, UTILIZED	0	0		24,723,000 CWT			
CALIFORNIA	CARROTS, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	CARROTS, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	LEMONS	0	50000	506 BOXES / ACRE	454,163,000 $, ON TREE EQUIV	24.31 $ / BOX, PHD EQUIV	614,933,000	
CALIFORNIA	LEMONS, UTILIZED	0	0		1,012,000 TONS			
CALIFORNIA	LEMONS, FRESH MARKET	0	0		700,000 TONS	(D) $ / BOX, PHD EQUIV		
CALIFORNIA	LEMONS, PROCESSING	0	0		312,000 TONS	(D) $ / BOX, PHD EQUIV		
CALIFORNIA	AVOCADOS, UTILIZED	0	0		187,940 TONS		411,720,000	
CALIFORNIA	AVOCADOS	0	47300	3.98 TONS / ACRE	188,500 TONS	2,190 $ / TON		
CALIFORNIA	AVOCADOS, PROCESSING	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	AVOCADOS, FRESH MARKET	0	0		(D) TONS	(D) $ / TON	(D)	
CALIFORNIA	RASPBERRIES, UTILIZED	0	0		152,850,000 LB		406,245,000	
CALIFORNIA	RASPBERRIES	0	8000	19,100 LB / ACRE	153,000,000 LB	2.66 $ / LB		
CALIFORNIA	RASPBERRIES, FRESH MARKET	0	0		(D) LB	(D) $ / LB	(D)	
CALIFORNIA	RASPBERRIES, PROCESSING	0	0		(D) LB	(D) $ / LB	(D)	
CALIFORNIA	CELERY	29200	28800	560 CWT / ACRE	16,128,000 CWT	22.3 $ / CWT	358,579,000	
CALIFORNIA	CELERY, UTILIZED	0	0		16,111,900 CWT			
CALIFORNIA	CELERY, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	CELERY, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	SPINACH	42500	42100	120 CWT / ACRE	5,052,000 CWT	62.1 $ / CWT	313,628,000	
CALIFORNIA	SPINACH, UTILIZED	0	0		5,052,000 CWT			
CALIFORNIA	SPINACH, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	SPINACH, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	PEACHES, UTILIZED	0	0		465,950 TONS		308,329,000	
CALIFORNIA	PEACHES, FRESH MARKET	0	0		128,250 TONS	1,220 $ / TON	156,465,000	
CALIFORNIA	PEACHES, PROCESSING	0	0		337,700 TONS	450 $ / TON	151,864,000	
CALIFORNIA	PEACHES	0	35000	13.4 TONS / ACRE	468,000 TONS	662 $ / TON		
CALIFORNIA	CAULIFLOWER	36500	36200	215 CWT / ACRE	7,783,000 CWT	34.8 $ / CWT	267,182,000	
CALIFORNIA	CAULIFLOWER, UTILIZED	0	0		7,681,800 CWT			
CALIFORNIA	CAULIFLOWER, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	CAULIFLOWER, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	GARLIC	24700	24700	140 CWT / ACRE	3,458,000 CWT	76.3 $ / CWT	263,993,000	
CALIFORNIA	GARLIC, FRESH MARKET	0	0			182 $ / CWT	220,275,000	
CALIFORNIA	GARLIC, PROCESSING	0	0			389 $ / TON	43,718,000	
CALIFORNIA	GARLIC, UTILIZED	0	0		3,458,000 CWT			
CALIFORNIA	SWEET POTATOES	22000	22000	360 CWT / ACRE	7,920,000 CWT	28.9 $ / CWT	229,268,000	
CALIFORNIA	SWEET POTATOES, FRESH MARKET	0	0			30.2 $ / CWT	220,049,000	
CALIFORNIA	SWEET POTATOES, PROCESSING	0	0			291 $ / TON	9,219,000	
CALIFORNIA	SWEET POTATOES, UTILIZED	0	0		7,920,000 CWT			
CALIFORNIA	POTATOES	29000	28900	445 CWT / ACRE	12,861,000 CWT	17.7 $ / CWT	227,640,000	
CALIFORNIA	BLUEBERRIES, TAME, UTILIZED	0	0		78,900,000 LB		215,698,000	
CALIFORNIA	BLUEBERRIES, TAME, FRESH MARKET	0	0		62,960,000 LB	3.35 $ / LB	210,916,000	
CALIFORNIA	BLUEBERRIES, TAME, PROCESSING	0	0		15,940,000 LB	0.3 $ / LB	4,782,000	
CALIFORNIA	BLUEBERRIES, TAME	0	6400	12,390 LB / ACRE	79,300,000 LB	2.73 $ / LB		
CALIFORNIA	CHERRIES, SWEET, UTILIZED	0	0		63,560 TONS		210,463,000	
CALIFORNIA	CHERRIES, SWEET, FRESH MARKET	0	0		59,360 TONS	3,490 $ / TON	207,166,000	
CALIFORNIA	CHERRIES, SWEET, PROCESSING	0	0		4,200 TONS	785 $ / TON	3,297,000	
CALIFORNIA	CHERRIES, SWEET	0	33000	2.02 TONS / ACRE	66,700 TONS	3,310 $ / TON		
CALIFORNIA	SWEET CORN	30000	29700	180 CWT / ACRE	5,346,000 CWT	36.5 $ / CWT	194,738,000	
CALIFORNIA	SWEET CORN, FRESH MARKET	0	0			36.5 $ / CWT	194,738,000	
CALIFORNIA	SWEET CORN, UTILIZED	0	0		5,335,300 CWT			
CALIFORNIA	MELONS, CANTALOUP, FRESH MARKET	0	0			25.5 $ / CWT	184,289,000	
CALIFORNIA	MELONS, CANTALOUP	22000	21900	330 CWT / ACRE	7,227,000 CWT	25.5 $ / CWT	184,289,000	
CALIFORNIA	MELONS, WATERMELON	9600	9500	520 CWT / ACRE	4,940,000 CWT	18.7 $ / CWT	92,561,000	
CALIFORNIA	MELONS, HONEYDEW	7600	7600	310 CWT / ACRE	2,356,000 CWT	20.9 $ / CWT	49,240,000	
CALIFORNIA	MELONS, HONEYDEW, FRESH MARKET	0	0			20.9 $ / CWT	49,240,000	
CALIFORNIA	MELONS, HONEYDEW, UTILIZED	0	0		2,356,000 CWT			
CALIFORNIA	MELONS, CANTALOUP, UTILIZED	0	0		7,227,000 CWT			
CALIFORNIA	MELONS, WATERMELON, UTILIZED	0	0		4,940,000 CWT			
CALIFORNIA	MELONS, WATERMELON, PROCESSING	0	0			(D) $ / TON	(D)	
CALIFORNIA	MELONS, WATERMELON, FRESH MARKET	0	0			(D) $ / CWT	(D)	
CALIFORNIA	CABBAGE	15100	14300	410 CWT / ACRE	5,863,000 CWT	25.3 $ / CWT	148,042,000	
CALIFORNIA	CABBAGE, FRESH MARKET	0	0			27.8 $ / CWT	138,544,000	
CALIFORNIA	CABBAGE, PROCESSING	0	0			216 $ / TON	9,498,000	
CALIFORNIA	CABBAGE, UTILIZED	0	0		5,863,000 CWT			
CALIFORNIA	PEPPERS, BELL	13600	13500	430 CWT / ACRE	5,805,000 CWT	25.1 $ / CWT	145,492,000	
CALIFORNIA	PEPPERS, BELL, FRESH MARKET	0	0			32.8 $ / CWT	83,017,000	
CALIFORNIA	PEPPERS, BELL, PROCESSING	0	0			383 $ / TON	62,475,000	
CALIFORNIA	PEPPERS, CHILE	3000	3000	340 CWT / ACRE	1,020,000 CWT	47.7 $ / CWT	48,629,000	
CALIFORNIA	PEPPERS, BELL, UTILIZED	0	0		5,793,400 CWT			
